name,type,type_certain,source_name,source_file,format,activity,date,length_km,vertices
Kororoko Village to Semahara & Tahama Village Junction (seg 66),Village-to-village track,True,Kororoko Village to Semahara & Tahama Village Junction,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.73,216
Road 1 Junction (seg 44),Road,True,Road 1 Junction,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.67,228
Track leading to Tahama (seg 67),Village-to-village track,True,Track leading to Tahama,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.64,223
russell muraba track record july 10 july (seg 81),Village-to-village track,True,2026-07-29 15:41,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.63,236
Munbon track to Toma (seg 82),Village-to-village track,True,Munbon track to Toma,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.61,188
Kawowoki to Awaru track (seg 38),Village-to-village track,True,Kawowoki to Awaru track,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.42,185
Track to Jorura Village (seg 58),Village-to-village track,True,Track to Jorura Village,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.39,202
Track from Bioi village to Omajeap main road,Village-to-village track,False,Track from Bioi village to Omajeap main road,Bioi_village_to_Omajeap_main_road.gpx,gpx,walking,2026-02-18,2.32,202
Track from Turatan to Bioi village,Village-to-village track,True,Track from Turatan to Bioi village,Turatan_to_Bioi_village.gpx,gpx,walking,2026-02-18,2.3,200
Kuhienei hamlet to Marase track (seg 10),Village-to-village track,True,Kuhienei hamlet to Marase track,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.27,180
Kweno to Sakarina track (seg 41),Village-to-village track,True,Kweno to Sakarina track,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.22,177
Track to Semahara (seg 33),Village-to-village track,True,Track to Semahara,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.19,169
russell muraba track record july 10 july (seg 37),Village-to-village track,True,2026-07-14 13:13,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,2.07,160
End of Siribu Village (seg 3),Village-to-village track,True,End of Siribu Village,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.99,157
Track from Sila Junction to Afore High-school then to Kaura (seg 93),Village-to-village track,True,Track from Sila Junction to Afore High-school then to Kaura,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.9,35
Track from Koeno to Tabuane (seg 92),Village-to-village track,True,Track from Koeno to Tabuane 2026-02-21 03:20,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.86,150
Track from Koeno to Tabuane,Village-to-village track,True,Track from Koeno to Tabuane 2026-02-21 03:20,Koeno_to_Tabuane_2026-02-21_03-20.gpx,gpx,walking,2026-02-21,1.86,150
Anatua to Serefuna,Village-to-village track,True,2026-02-04 09:35 Anatua to Serefuna,Anatua_to_Serefuna_2026-02-04_09-35.gpx,gpx,walking,2026-02-04,1.79,162
Umbara to Mate Hamlet Track (seg 69),Village-to-village track,True,Umbara to Mate Hamlet Track,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.79,154
Short cut to Siribu village (seg 89),Village-to-village track,True,Short cut to Siribu village,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.78,152
Tabuane to Dea village Main Road (seg 28),Road,True,Tabuane to Dea village Main Road,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.75,147
